日志：00:57:07.497 [restartedMain] INFO  o.a.catalina.core.StandardEngine --- Starting Servlet engine: [Apache Tomcat/10.1.28]
日志：00:57:07.513 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] --- Initializing Spring embedded WebApplicationContext
日志：00:57:07.536 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper --- HHH000204: Processing PersistenceUnitInfo [name: default]
日志：00:57:07.539 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator --- HHH000026: Second-level cache disabled
日志：00:57:07.548 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-2 - Starting...
日志：00:57:07.559 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool --- HikariPool-2 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7490a356
日志：00:57:07.559 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-2 - Start completed.
日志：00:57:07.559 [restartedMain] WARN  org.hibernate.orm.deprecation --- HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
日志：00:57:07.559 [restartedMain] WARN  org.hibernate.orm.deprecation --- HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
日志：00:57:07.575 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator --- HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
日志：00:57:07.590 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration --- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
日志：00:57:07.711 [restartedMain] INFO  j.o.OnlineShoppingMallApplication --- Started OnlineShoppingMallApplication in 0.506 seconds (process running for 88.345)
日志：00:57:11.142 [Thread-7] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-2 - Shutdown initiated...
日志：00:57:11.156 [Thread-7] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-2 - Shutdown completed.
日志：00:57:11.220 [restartedMain] INFO  j.o.OnlineShoppingMallApplication --- Starting OnlineShoppingMallApplication using Java 17.0.6 with PID 4664 (E:\NewDeskope\24-25java-web\24-25Javaweb_work\Java_web_WorkHub\期末大作业_网上购物商城\online_shopping_mall\target\classes started by Yu'S'hui'shen in E:\NewDeskope\24-25java-web\24-25Javaweb_work\Java_web_WorkHub\期末大作业_网上购物商城\online_shopping_mall)
日志：00:57:11.220 [restartedMain] INFO  j.o.OnlineShoppingMallApplication --- No active profile set, falling back to 1 default profile: "default"
日志：00:57:11.471 [restartedMain] INFO  o.a.c.core.AprLifecycleListener --- Loaded Apache Tomcat Native library [2.0.8] using APR version [1.7.4].
日志：00:57:11.472 [restartedMain] INFO  o.a.c.core.AprLifecycleListener --- OpenSSL successfully initialized [OpenSSL 3.0.14 4 Jun 2024]
